match_date,team1,team2,venue,winner,top_scorer,top_score,home_team
2024-11-24,India,Australia,"Perth Stadium, Perth",India,Yashasvi Jaiswal,161,Australia
2024-11-22,India,Australia,"Adelaide Oval, Adelaide",Australia,Travis Head,140,Australia
2024-11-06,India,South Africa,"Centurion Park, Centurion",South Africa,Temba Bavuma,106,South Africa
2024-10-20,India,New Zealand,"M. Chinnaswamy Stadium, Bengaluru",New Zealand,Will Young,89,India
2024-09-29,India,Bangladesh,"MA Chidambaram Stadium, Chennai",India,Virat Kohli,47,India
2024-07-29,India,Sri Lanka,Pallekele International Cricket Stadium,India,Shubman Gill,98,Sri Lanka
2024-06-29,India,South Africa,"Kensington Oval, Barbados",India,Virat Kohli,76,Neutral
2024-06-22,India,England,"Providence Stadium, Guyana",India,Rohit Sharma,57,Neutral
2024-06-15,India,Pakistan,"Nassau County International Cricket Stadium, New York",India,Virat Kohli,76,Neutral
2024-02-04,India,Afghanistan,"ACA-VDCA Cricket Stadium, Visakhapatnam",India,Shubman Gill,126,India
2024-11-24,Australia,India,"Perth Stadium, Perth",India,Yashasvi Jaiswal,161,Australia
2024-11-22,Australia,India,"Adelaide Oval, Adelaide",Australia,Travis Head,140,Australia
2024-10-05,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,Babar Azam,111,Pakistan
2024-09-22,Australia,England,"Lord's Cricket Ground, London",Australia,Travis Head,118,England
2024-09-11,Australia,England,"The Oval, London",England,Joe Root,143,England
2024-07-14,Australia,West Indies,"Daren Sammy National Cricket Stadium, St Lucia",Australia,David Warner,91,West Indies
2024-06-21,Australia,Afghanistan,"Arnos Vale Ground, St Vincent",Afghanistan,Rahmanullah Gurbaz,60,Neutral
2024-02-29,Australia,New Zealand,"Basin Reserve, Wellington",Australia,Mitchell Marsh,90,New Zealand
2024-02-21,Australia,New Zealand,"Hagley Oval, Christchurch",New Zealand,Kane Williamson,85,New Zealand
2024-01-19,Australia,West Indies,"Adelaide Oval, Adelaide",Australia,Steve Smith,94,Australia
